gene1	gene	score
NARS	HDAC4	0.152
NARS	IFI16	0.152
NARS	HDAC5	0.152
QARS	OTUB1	0.152
YARS	PSMD14	0.152
YARS	EGFR	0.152
RARS	MDM2	0.152
RARS	MYC	0.152
IARS2	HSP90AA1	0.152
IARS2	HSP90AB1	0.152
IARS2	ECSIT	0.152
IARS	COPB1	0.152
IARS	YWHAZ	0.152
IARS	WDR76	0.152
IARS	HDAC5	0.152
IARS	METTL18	0.152
VARS	YWHAQ	0.152
VARS	YWHAZ	0.152
VARS	IFI16	0.152
VARS2	PIK3CA	0.152
LARS	YWHAZ	0.152
LARS	ARG2	0.152
LARS2	METAP1	0.152
MARS	PRPF40A	0.152
MARS	TAF1	0.152
AARS	YWHAZ	0.152
AARS	RAB40B	0.152
AARS	RAB39B	0.152
AARS	OTUB1	0.152
AARS	NEDD4L	0.152
AARS	IFT22	0.152
AARS	RAB22A	0.152
AARS	NEDD4	0.152
TARS2	EGFR	0.152
TARSL2	PRPF40A	0.152
TARS	OTUB1	0.152
TARS	PRPF40A	0.152
WARS	NAPSA	0.152
WARS	REN	0.152
WARS	CTSD	0.152
WARS	PGA3	0.152
WARS	PGA5	0.152
DARS2	BBS1	0.151
DARS2	MRPL27	0.151
DARS2	MRPS16	0.151
DARS	SUMO1	0.151
DARS	USP10	0.151
DARS	CRY1	0.151
DARS	CRY2	0.151
DARS	SLC2A4	0.151
FARSA	ASB4	0.151
FARSA	EGFR	0.151
FARSB	CDK7	0.151
FARSB	USP10	0.151
HARS	HSPA6	0.151
HARS	HSPA1L	0.151
HARS	HSPA2	0.151
HARS	USP10	0.151
HARS	HSPA1B	0.151
HARS	HSPA8	0.151
HARS2	HSPA2	0.151
HARS2	USP10	0.151
HARS2	HSPA1B	0.151
HARS2	HSPA8	0.151
HARS2	HSPA6	0.151
HARS2	HSPA1L	0.151
NARS	IARS	0.151
NARS	USP10	0.151
QARS	BAG2	0.151
YARS	HSPA2	0.151
YARS	HSPA1A	0.151
YARS	HSPA1B	0.151
YARS	HSPA8	0.151
YARS	HSPA6	0.151
YARS	HSPA1L	0.151
CARS	NEDD8	0.151
RARS	CRY1	0.151
IARS2	HSPB1	0.151
IARS	USP5	0.151
IARS	MDM2	0.151
IARS	CRY1	0.151
IARS	CRY2	0.151
IARS	USP13	0.151
IARS	LGR4	0.151
IARS	ASNA1	0.151
IARS	NARS	0.151
VARS	CPOX	0.151
VARS	CACNA1A	0.151
VARS	EGFR	0.151
VARS	FOS	0.151
VARS	TPR	0.151
VARS	SLC2A4	0.151
EARS2	DNAJA4	0.151
EARS2	DNAJA2	0.151
EARS2	HSP90AB1	0.151
EARS2	DNAJA1	0.151
LARS	ARG1	0.151
LARS	HSPA1L	0.151
LARS	USP10	0.151
LARS	FAF2	0.151
LARS2	FBXW11	0.151
SARS	USP10	0.151
SARS	SIRT2	0.151
SARS	SLC2A4	0.151
SARS2	UTP18	0.151
SARS2	RAD21	0.151
MARS	CRY1	0.151
MARS	CRY2	0.151
MARS	TAF6	0.151
AARS	HSPA1L	0.151
AARS2	FBXW11	0.151
AARS2	GFPT2	0.151
AARS2	GFPT1	0.151
TARS2	UBD	0.151
TARSL2	UBE2I	0.151
TARSL2	USP10	0.151
TARS	UBE2I	0.151
TARS	USP10	0.151
TARS	EGFR	0.151
DARS2	DCP2	0.15
DARS2	UBD	0.15
DARS	ATP6V1B1	0.15
DARS	HSPA6	0.15
DARS	ATP6V1B2	0.15
DARS	PIK3R1	0.15
DARS	HSPA2	0.15
DARS	NPEPPS	0.15
DARS	STK3	0.15
DARS	HSPH1	0.15
DARS	ACO2	0.15
DARS	STK26	0.15
DARS	STK24	0.15
DARS	STK25	0.15
DARS	HSPA4L	0.15
DARS	BAG2	0.15
DARS	HSPA1B	0.15
